Resume,Job_Description,Resume_Cleaned,Job_Description_Cleaned,Similarity_Score
"Front-end developer proficient in Python, SQL, Tableau. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Python, SQL, Tableau and experience in creating responsive designs.",front end developer proficient python sql tableau experience building responsive web applications,hiring front end developer proficiency python sql tableau experience creating responsive designs,0.5620926747309712
"Front-end developer proficient in Python, SQL, Tableau. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Python, SQL, Tableau and experience in creating responsive designs.",front end developer proficient python sql tableau experience building responsive web applications,hiring front end developer proficiency python sql tableau experience creating responsive designs,0.5620926747309712
"Front-end developer proficient in Python, SQL, Tableau. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in Python, SQL, Tableau and experience in creating responsive designs.",front end developer proficient python sql tableau experience building responsive web applications,hiring front end developer proficiency python sql tableau experience creating responsive designs,0.5620926747309712
"Front-end developer proficient in deep learning, TensorFlow, NLP. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in deep learning, TensorFlow, NLP and experience in creating responsive designs.",front end developer proficient deep learning tensorflow nlp experience building responsive web applications,hiring front end developer proficiency deep learning tensorflow nlp experience creating responsive designs,0.5613741315426932
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in microservices.","Seeking a cloud architect with experience in AWS, Azure, GCP and responsive design.",cloud architect hands experience aws azure gcp expertise microservices,seeking cloud architect experience aws azure gcp responsive design,0.547775980397738
Cloud architect with hands-on experience in Kubernetes. Expertise in backend development.,"Seeking a cloud architect with experience in AWS, Azure, GCP and backend development.",cloud architect hands experience kubernetes expertise backend development,seeking cloud architect experience aws azure gcp backend development,0.5450355037286331
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background deep learning tensorflow nlp,0.5359516822460357
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background deep learning tensorflow nlp,0.5359516822460357
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in backend development.","Seeking a cloud architect with experience in AWS, Azure, GCP and cloud migration.",cloud architect hands experience aws azure gcp expertise backend development,seeking cloud architect experience aws azure gcp cloud migration,0.5355926107923885
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in AWS, Azure, GCP.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background aws azure gcp,0.5354287267746994
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in AWS, Azure, GCP.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background aws azure gcp,0.5354287267746994
"Front-end developer proficient in AWS, Azure, GCP. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in AWS, Azure, GCP and experience in creating responsive designs.",front end developer proficient aws azure gcp experience building responsive web applications,hiring front end developer proficiency aws azure gcp experience creating responsive designs,0.5233147257052899
"Front-end developer proficient in AWS, Azure, GCP. Experience in building responsive web applications.","Hiring a front-end developer with proficiency in AWS, Azure, GCP and experience in creating responsive designs.",front end developer proficient aws azure gcp experience building responsive web applications,hiring front end developer proficiency aws azure gcp experience creating responsive designs,0.5233147257052899
"Software engineer with 4 years of experience in AWS, Azure, GCP. Skilled in backend development.","Hiring a software engineer with experience in backend development and Python, SQL, Tableau.",software engineer 4 years experience aws azure gcp skilled backend development,hiring software engineer experience backend development python sql tableau,0.516853705525187
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in backend development.",Seeking a cloud architect with experience in multi-cloud platforms and backend development.,cloud architect hands experience aws azure gcp expertise backend development,seeking cloud architect experience multi cloud platforms backend development,0.5164184219632595
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in Python, SQL, Tableau.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background python sql tableau,0.5161353834091744
"AI researcher with a strong foundation in machine learning, computer vision. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in React, JavaScript, CSS.",ai researcher strong foundation machine learning computer vision published papers leading journals,looking ai researcher expertise machine learning computer vision strong background react javascript css,0.512673017619306
Cloud architect with hands-on experience in Kubernetes. Expertise in responsive design.,Seeking a cloud architect with experience in Kubernetes and microservices.,cloud architect hands experience kubernetes expertise responsive design,seeking cloud architect experience kubernetes microservices,0.505663268733967
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background deep learning tensorflow nlp,0.5055675801714267
Cloud architect with hands-on experience in Kubernetes. Expertise in microservices.,Seeking a cloud architect with experience in Kubernetes and responsive design.,cloud architect hands experience kubernetes expertise microservices,seeking cloud architect experience kubernetes responsive design,0.5044238819551363
"Software engineer with 2 years of experience in Python, SQL, Tableau. Skilled in backend development.","Hiring a software engineer with experience in backend development and deep learning, TensorFlow, NLP.",software engineer 2 years experience python sql tableau skilled backend development,hiring software engineer experience backend development deep learning tensorflow nlp,0.49264948210868154
Cloud architect with hands-on experience in Kubernetes. Expertise in responsive design.,Seeking a cloud architect with experience in multi-cloud platforms and responsive design.,cloud architect hands experience kubernetes expertise responsive design,seeking cloud architect experience multi cloud platforms responsive design,0.4876706865215705
Cloud architect with hands-on experience in Kubernetes. Expertise in responsive design.,"Seeking a cloud architect with experience in AWS, Azure, GCP and responsive design.",cloud architect hands experience kubernetes expertise responsive design,seeking cloud architect experience aws azure gcp responsive design,0.48658484127711876
"Software engineer with 6 years of experience in Java, Spring Boot, RESTful APIs. Skilled in microservices.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",software engineer 6 years experience java spring boot restful apis skilled microservices,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.4726338847636531
"Data analyst with 9 years of experience in Java, Spring Boot, RESTful APIs. Certified in Power BI. Strong problem-solving skills.","Looking for a data analyst with expertise in Java, Spring Boot, RESTful APIs and data visualization tools like Tableau.",data analyst 9 years experience java spring boot restful apis certified power bi strong problem solving skills,looking data analyst expertise java spring boot restful apis data visualization tools like tableau,0.47252812309372355
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in responsive design.",Seeking a cloud architect with experience in multi-cloud platforms and responsive design.,cloud architect hands experience aws azure gcp expertise responsive design,seeking cloud architect experience multi cloud platforms responsive design,0.4672144650706478
Cloud architect with hands-on experience in Kubernetes. Expertise in microservices.,Seeking a cloud architect with experience in multi-cloud platforms and microservices.,cloud architect hands experience kubernetes expertise microservices,seeking cloud architect experience multi cloud platforms microservices,0.4641494002089197
Cloud architect with hands-on experience in Kubernetes. Expertise in backend development.,Seeking a cloud architect with experience in Kubernetes and responsive design.,cloud architect hands experience kubernetes expertise backend development,seeking cloud architect experience kubernetes responsive design,0.4617908416614878
"Software engineer with 1 years of experience in Java, Spring Boot, RESTful APIs. Skilled in cloud migration.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",software engineer 1 years experience java spring boot restful apis skilled cloud migration,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.46022733333788723
Cloud architect with hands-on experience in Kubernetes. Expertise in responsive design.,Seeking a cloud architect with experience in Kubernetes and backend development.,cloud architect hands experience kubernetes expertise responsive design,seeking cloud architect experience kubernetes backend development,0.4595286140463908
"Software engineer with 4 years of experience in deep learning, TensorFlow, NLP. Skilled in cloud migration.","Hiring a software engineer with experience in cloud migration and Python, SQL, Tableau.",software engineer 4 years experience deep learning tensorflow nlp skilled cloud migration,hiring software engineer experience cloud migration python sql tableau,0.4529505171094146
"Data analyst with 9 years of experience in Java, Spring Boot, RESTful APIs. Certified in AWS Solutions Architect. Strong problem-solving skills.","Looking for a data analyst with expertise in Java, Spring Boot, RESTful APIs and data visualization tools like Excel.",data analyst 9 years experience java spring boot restful apis certified aws solutions architect strong problem solving skills,looking data analyst expertise java spring boot restful apis data visualization tools like excel,0.45099884605588986
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in microservices.,"Seeking a cloud architect with experience in AWS, Azure, GCP and microservices.",cloud architect hands experience multi cloud platforms expertise microservices,seeking cloud architect experience aws azure gcp microservices,0.44910003019617595
"Software engineer with 6 years of experience in Java, Spring Boot, RESTful APIs. Skilled in backend development.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",software engineer 6 years experience java spring boot restful apis skilled backend development,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.44772342346514715
"Software engineer with 9 years of experience in Java, Spring Boot, RESTful APIs. Skilled in backend development.","Hiring a software engineer with experience in backend development and deep learning, TensorFlow, NLP.",software engineer 9 years experience java spring boot restful apis skilled backend development,hiring software engineer experience backend development deep learning tensorflow nlp,0.44001990183915063
"Software engineer with 4 years of experience in Java, Spring Boot, RESTful APIs. Skilled in backend development.","Hiring a software engineer with experience in backend development and deep learning, TensorFlow, NLP.",software engineer 4 years experience java spring boot restful apis skilled backend development,hiring software engineer experience backend development deep learning tensorflow nlp,0.44001990183915063
"Software engineer with 4 years of experience in deep learning, TensorFlow, NLP. Skilled in responsive design.","Hiring a software engineer with experience in responsive design and Python, SQL, Tableau.",software engineer 4 years experience deep learning tensorflow nlp skilled responsive design,hiring software engineer experience responsive design python sql tableau,0.43746101640247936
"Software engineer with 2 years of experience in AWS, Azure, GCP. Skilled in microservices.","Hiring a software engineer with experience in microservices and deep learning, TensorFlow, NLP.",software engineer 2 years experience aws azure gcp skilled microservices,hiring software engineer experience microservices deep learning tensorflow nlp,0.43491794637461884
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in AWS, Azure, GCP.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background aws azure gcp,0.4252956157566206
"Software engineer with 1 years of experience in Java, Spring Boot, RESTful APIs. Skilled in cloud migration.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in Java, Spring Boot, RESTful APIs.",software engineer 1 years experience java spring boot restful apis skilled cloud migration,looking ai researcher expertise machine learning computer vision strong background java spring boot restful apis,0.4216645246639472
"Front-end developer proficient in Python, SQL, Tableau. Experience in building responsive web applications.","Hiring a software engineer with experience in responsive design and Python, SQL, Tableau.",front end developer proficient python sql tableau experience building responsive web applications,hiring software engineer experience responsive design python sql tableau,0.41946161655295233
"Front-end developer proficient in Java, Spring Boot, RESTful APIs. Experience in building responsive web applications.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",front end developer proficient java spring boot restful apis experience building responsive web applications,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.4174388306648593
"Software engineer with 5 years of experience in React, JavaScript, CSS. Skilled in responsive design.","Hiring a front-end developer with proficiency in React, JavaScript, CSS and experience in creating responsive designs.",software engineer 5 years experience react javascript css skilled responsive design,hiring front end developer proficiency react javascript css experience creating responsive designs,0.40930725844185123
"Software engineer with 2 years of experience in React, JavaScript, CSS. Skilled in responsive design.","Hiring a front-end developer with proficiency in React, JavaScript, CSS and experience in creating responsive designs.",software engineer 2 years experience react javascript css skilled responsive design,hiring front end developer proficiency react javascript css experience creating responsive designs,0.40930725844185123
"Data analyst with 5 years of experience in Java, Spring Boot, RESTful APIs. Certified in Power BI. Strong problem-solving skills.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",data analyst 5 years experience java spring boot restful apis certified power bi strong problem solving skills,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.4068710828635511
"Data analyst with 10 years of experience in Java, Spring Boot, RESTful APIs. Certified in AWS Solutions Architect. Strong problem-solving skills.","Looking for a data analyst with expertise in Java, Spring Boot, RESTful APIs and data visualization tools like Power BI.",data analyst 10 years experience java spring boot restful apis certified aws solutions architect strong problem solving skills,looking data analyst expertise java spring boot restful apis data visualization tools like power bi,0.40560685551697057
"Software engineer with 8 years of experience in Python, SQL, Tableau. Skilled in microservices.","Hiring a software engineer with experience in microservices and React, JavaScript, CSS.",software engineer 8 years experience python sql tableau skilled microservices,hiring software engineer experience microservices react javascript css,0.4054546351993886
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in React, JavaScript, CSS.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background react javascript css,0.4028967570292991
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in React, JavaScript, CSS.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background react javascript css,0.4028967570292991
"Front-end developer proficient in deep learning, TensorFlow, NLP. Experience in building responsive web applications.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in deep learning, TensorFlow, NLP.",front end developer proficient deep learning tensorflow nlp experience building responsive web applications,looking ai researcher expertise deep learning nlp strong background deep learning tensorflow nlp,0.401028983169305
"Front-end developer proficient in deep learning, TensorFlow, NLP. Experience in building responsive web applications.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in deep learning, TensorFlow, NLP.",front end developer proficient deep learning tensorflow nlp experience building responsive web applications,looking ai researcher expertise deep learning nlp strong background deep learning tensorflow nlp,0.401028983169305
"Software engineer with 6 years of experience in Python, SQL, Tableau. Skilled in responsive design.","Hiring a front-end developer with proficiency in Python, SQL, Tableau and experience in creating responsive designs.",software engineer 6 years experience python sql tableau skilled responsive design,hiring front end developer proficiency python sql tableau experience creating responsive designs,0.39881346190047745
"Software engineer with 4 years of experience in deep learning, TensorFlow, NLP. Skilled in responsive design.","Hiring a front-end developer with proficiency in deep learning, TensorFlow, NLP and experience in creating responsive designs.",software engineer 4 years experience deep learning tensorflow nlp skilled responsive design,hiring front end developer proficiency deep learning tensorflow nlp experience creating responsive designs,0.39768814361632165
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise machine learning computer vision strong background deep learning tensorflow nlp,0.39548997177278816
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise machine learning computer vision strong background deep learning tensorflow nlp,0.39548997177278816
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in machine learning, computer vision and strong background in deep learning, TensorFlow, NLP.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise machine learning computer vision strong background deep learning tensorflow nlp,0.39548997177278816
"Software engineer with 5 years of experience in Java, Spring Boot, RESTful APIs. Skilled in microservices.","Looking for a data analyst with expertise in Java, Spring Boot, RESTful APIs and data visualization tools like Excel.",software engineer 5 years experience java spring boot restful apis skilled microservices,looking data analyst expertise java spring boot restful apis data visualization tools like excel,0.3938327814690554
"Data analyst with 4 years of experience in AWS, Azure, GCP. Certified in Azure Fundamentals. Strong problem-solving skills.","Looking for a data analyst with expertise in AWS, Azure, GCP and data visualization tools like Tableau.",data analyst 4 years experience aws azure gcp certified azure fundamentals strong problem solving skills,looking data analyst expertise aws azure gcp data visualization tools like tableau,0.38514341420496484
"Data analyst with 4 years of experience in deep learning, TensorFlow, NLP. Certified in AWS Solutions Architect. Strong problem-solving skills.","Looking for a data analyst with expertise in deep learning, TensorFlow, NLP and data visualization tools like Tableau.",data analyst 4 years experience deep learning tensorflow nlp certified aws solutions architect strong problem solving skills,looking data analyst expertise deep learning tensorflow nlp data visualization tools like tableau,0.38319971826527344
"Data analyst with 2 years of experience in React, JavaScript, CSS. Certified in Power BI. Strong problem-solving skills.","Looking for a data analyst with expertise in Python, SQL, Tableau and data visualization tools like Power BI.",data analyst 2 years experience react javascript css certified power bi strong problem solving skills,looking data analyst expertise python sql tableau data visualization tools like power bi,0.38209492667924055
Cloud architect with hands-on experience in Kubernetes. Expertise in cloud migration.,Seeking a cloud architect with experience in multi-cloud platforms and backend development.,cloud architect hands experience kubernetes expertise cloud migration,seeking cloud architect experience multi cloud platforms backend development,0.37946262404742426
Cloud architect with hands-on experience in Kubernetes. Expertise in cloud migration.,Seeking a cloud architect with experience in multi-cloud platforms and backend development.,cloud architect hands experience kubernetes expertise cloud migration,seeking cloud architect experience multi cloud platforms backend development,0.37946262404742426
"Software engineer with 4 years of experience in deep learning, TensorFlow, NLP. Skilled in responsive design.","Hiring a software engineer with experience in responsive design and Java, Spring Boot, RESTful APIs.",software engineer 4 years experience deep learning tensorflow nlp skilled responsive design,hiring software engineer experience responsive design java spring boot restful apis,0.37924270440705055
"Data analyst with 6 years of experience in Java, Spring Boot, RESTful APIs. Certified in Azure Fundamentals. Strong problem-solving skills.","Hiring a front-end developer with proficiency in Java, Spring Boot, RESTful APIs and experience in creating responsive designs.",data analyst 6 years experience java spring boot restful apis certified azure fundamentals strong problem solving skills,hiring front end developer proficiency java spring boot restful apis experience creating responsive designs,0.37882078296528143
Cloud architect with hands-on experience in multi-cloud platforms. Expertise in backend development.,"Seeking a cloud architect with experience in AWS, Azure, GCP and cloud migration.",cloud architect hands experience multi cloud platforms expertise backend development,seeking cloud architect experience aws azure gcp cloud migration,0.36875588449896657
"Data analyst with 1 years of experience in AWS, Azure, GCP. Certified in Azure Fundamentals. Strong problem-solving skills.","Looking for a data analyst with expertise in AWS, Azure, GCP and data visualization tools like Excel.",data analyst 1 years experience aws azure gcp certified azure fundamentals strong problem solving skills,looking data analyst expertise aws azure gcp data visualization tools like excel,0.3664642060838976
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.365214382687582
"AI researcher with a strong foundation in deep learning, NLP. Published papers in leading journals.","Looking for an AI researcher with expertise in deep learning, NLP and strong background in Java, Spring Boot, RESTful APIs.",ai researcher strong foundation deep learning nlp published papers leading journals,looking ai researcher expertise deep learning nlp strong background java spring boot restful apis,0.365214382687582
"Software engineer with 6 years of experience in React, JavaScript, CSS. Skilled in microservices.","Hiring a front-end developer with proficiency in React, JavaScript, CSS and experience in creating responsive designs.",software engineer 6 years experience react javascript css skilled microservices,hiring front end developer proficiency react javascript css experience creating responsive designs,0.36218045011398503
"Cloud architect with hands-on experience in AWS, Azure, GCP. Expertise in responsive design.","Hiring a software engineer with experience in microservices and AWS, Azure, GCP.",cloud architect hands experience aws azure gcp expertise responsive design,hiring software engineer experience microservices aws azure gcp,0.35981770231221705
Cloud architect with hands-on experience in Kubernetes. Expertise in cloud migration.,"Hiring a software engineer with experience in cloud migration and deep learning, TensorFlow, NLP.",cloud architect hands experience kubernetes expertise cloud migration,hiring software engineer experience cloud migration deep learning tensorflow nlp,0.35551252813003686
"Software engineer with 10 years of experience in React, JavaScript, CSS. Skilled in responsive design.","Hiring a front-end developer with proficiency in React, JavaScript, CSS and experience in creating responsive designs.",software engineer 10 years experience react javascript css skilled responsive design,hiring front end developer proficiency react javascript css experience creating responsive designs,0.3548712929587957
"Front-end developer proficient in deep learning, TensorFlow, NLP. Experience in building responsive web applications.","Hiring a software engineer with experience in cloud migration and deep learning, TensorFlow, NLP.",front end developer proficient deep learning tensorflow nlp experience building responsive web applications,hiring software engineer experience cloud migration deep learning tensorflow nlp,0.35433508188297813
"Front-end developer proficient in React, JavaScript, CSS. Experience in building responsive web applications.","Hiring a software engineer with experience in backend development and React, JavaScript, CSS.",front end developer proficient react javascript css experience building responsive web applications,hiring software engineer experience backend development react javascript css,0.3527560874194434
"Front-end developer proficient in React, JavaScript, CSS. Experience in building responsive web applications.","Hiring a software engineer with experience in backend development and React, JavaScript, CSS.",front end developer proficient react javascript css experience building responsive web applications,hiring software engineer experience backend development react javascript css,0.3527560874194434
"Software engineer with 9 years of experience in Python, SQL, Tableau. Skilled in microservices.","Hiring a front-end developer with proficiency in Python, SQL, Tableau and experience in creating responsive designs.",software engineer 9 years experience python sql tableau skilled microservices,hiring front end developer proficiency python sql tableau experience creating responsive designs,0.35061447911191945
